className,name,ISO,landArea,arableLandArea,GDP,GDPRate,energyOutput,carbonOutput,carbonOutput1990
NonAnnexOne,Albania,ALB,27398,5507,2550868201,0.0527,2291559,1753000,7488000
NonAnnexOne,Algeria,DZA,2381741,75501,45557277077,0.0541,107167789,107080000,78896000
NonAnnexOne,Angola,AGO,1246700,33038,6353998396,0.0758,28680881,7308000,4430000
NonAnnexOne,Antigua and Barbuda,ATG,443,80,566962963,0.0597,359068,334000,301000
NonAnnexOne,Argentina,ARG,2736690,274490,2.8E+11,0.0452,155291608,137674000,112614000
NonAnnexOne,Armenia,ARM,28203,4766,1751787925,0.0516,3505577,3407000,3682000
AnnexOneReduce,Australia,AUS,7682300,468503,3.6E+11,0.0555,369446401,346913000,287331000
AnnexOneReduce,Austria,AUT,82445,13677,1.91E+11,0.0341,80287777,63549000,60960000
NonAnnexOne,Azerbaijan,AZE,82629,17754,4288293285,0.0502,36696190,31595000,44173000
NonAnnexOne,Bahamas,BHS,10010,58,5271222913,0.0755,1920463,1793000,1951000
NonAnnexOne,Bahrain,BHR,760,19,6892190977,0.0701,18405000,18405000,11885000
NonAnnexOne,Bangladesh,BGD,130168,74173,41059359194,0.0534,52820157,24041000,15533000
NonAnnexOne,Barbados,BRB,431,160,2265050000,0.0618,1332208,1140000,1074000
AnnexOneSustain,Belarus,BLR,202900,55575,13459157442,0.0684,60231120,57598000,87487000
AnnexOneReduce,Belgium,BEL,30278,8302,2.28E+11,0.017,156848781,119185000,108470000
NonAnnexOne,Belize,BLZ,22806,696,604200000,0.0341,405659,370000,312000
NonAnnexOne,Benin,BEN,110622,26029,2302980052,0.0377,25087838,1214000,715000
NonAnnexOne,Bhutan,BTN,38394,1081,357347686,0.0648,436866,385000,128000
NonAnnexOne,Bolivia,BOL,1083301,30146,7688192379,0.0479,15365372,10326000,5504000
NonAnnexOne,Bosnia and Herzegovina,BIH,51187,10026,3472692887,0.1637,17275381,16226000,3938000
NonAnnexOne,Botswana,BWA,566730,3805,5181264021,0.1042,5803405,3832000,2178000
NonAnnexOne,Brazil,BRA,8459417,586036,7.46E+11,0.0002,613292152,314013000,208887000
NonAnnexOne,Brunei,BRN,5265,110,4050545679,-0.0058,5992634,5985000,6421000
AnnexOneSustain,Bulgaria,BGR,108489,33099,11527834227,0.0526,60479429,50993000,77729000
NonAnnexOne,Burkina Faso,BFA,273800,48353,2608266814,0.0781,996689,862000,587000
NonAnnexOne,Burundi,BDI,25680,9124,1150043586,0.0382,342599,301000,304000
NonAnnexOne,Cambodia,KHM,176515,36081,3004660731,0.0528,2612801,2233000,451000
NonAnnexOne,Cameroon,CMR,472710,58868,9153580048,0.0489,17166804,3209000,1738000
CanadaAgent,Canada,CAN,9093507,415573,5.71E+11,0.0385,642229194,478881000,450077000
NonAnnexOne,Cape Verde,CPV,4033,460,498531194,0.0678,162501,154000,88000
NonAnnexOne,Central African Republic,CAF,622984,19313,925029532,0.0489,284994,249000,198000
NonAnnexOne,Chad,TCD,1259200,35258,1680363347,0.0657,124660,114000,147000
NonAnnexOne,Chile,CHL,743812,19619,74507126524,0.0308,79079224,58987000,34903000
NonAnnexOne,China,CHN,9569901,1385905,1.02E+12,0.0772,4403586628,3324345000,2460744000
NonAnnexOne,Colombia,COL,1038700,20878,1.14E+11,0.0051,97918267,65977000,57337000
