className,name,ISO,landArea,arableLandArea,GDP,GDPRate,energyOutput,carbonOutput,carbonOutput1990
AnnexOneReduce,Australia,AUS,7682300,468503,360000000000.0,0.0555,369446401,346913000,287331000
AnnexOneReduce,France,FRA,640427,182711,1310000000000.0,0.0297,703718793,409094000,399028000
AnnexOneReduce,Germany,DEU,348672,115698,1980000000000.0,0.0206,1031203645,895533000,928327000
AnnexOneReduce,Japan,JPN,364485,43620,4010000000000.0,-0.017,1371922914,1159186000,1094706000
AnnexOneReduce,Spain,ESP,498980,135776,548000000000.0,0.0426,354892484,274684000,227592000
AnnexOneReduce,United Kingdom,GBR,241930,56121,1300000000000.0,0.0385,611278440,554139000,570219000
AnnexOneSustain,Poland,POL,304255,122547,154000000000.0,0.0486,752626615,326935000,366773000
AnnexOneSustain,Russia,RUS,16377742,1218599,242000000000.0,-0.0481,1571812255,1511270000,2220721000
AnnexOneSustain,Slovakia,SVK,48105,14264,20034616753.0,0.022,43230000,43230000,45647000
AnnexOneSustain,Ukraine,UKR,579330,324791,35917739713.0,-0.0342,357907735,328637000,641681000
NonAnnexOne,Antigua and Barbuda,ATG,443,80,566962963.0,0.0597,359068,334000,301000
NonAnnexOne,Argentina,ARG,2736690,274490,280000000000.0,0.0452,155291608,137674000,112614000
NonAnnexOne,Armenia,ARM,28203,4766,1751787925.0,0.0516,3505577,3407000,3682000
NonAnnexOne,Belize,BLZ,22806,696,604200000.0,0.0341,405659,370000,312000
NonAnnexOne,Benin,BEN,110622,26029,2302980052.0,0.0377,25087838,1214000,715000
NonAnnexOne,Bhutan,BTN,38394,1081,357347686.0,0.0648,436866,385000,128000
NonAnnexOne,Botswana,BWA,566730,3805,5181264021.0,0.1042,5803405,3832000,2178000
NonAnnexOne,Brazil,BRA,8459417,586036,746000000000.0,0.0002,613292152,314013000,208887000
NonAnnexOne,China,CHN,9569901,1385905,1020000000000.0,0.0772,4403586628,3324345000,2460744000
NonAnnexOne,India,IND,2973193,1451809,400000000000.0,0.0658,1935771324,1071912000,690577000
