Type,name,ISO,agentName,Ratified,totalArea,landArea,waterArea,arableLandArea,GDP,GDPRate,availableToSpend,emissionsTarget,carbonOffset,energyOutput,carbonOutput
Group 3,Albania,ALB,NonAnnexOne,38443,28748,27398,1350,5507,2221743821,0,0,9788,0,6591,
Group 3,Algeria,DZA,NonAnnexOne,38399,2381741,2381741,0,75501,58742496286,0,0,78961,0,111512,
Group 3,Angola,AGO,NonAnnexOne,39210,1246700,1246700,0,33038,10222307641,0,0,17386,0,66964,
Group 3,Antigua and Barbuda,ATG,NonAnnexOne,36102,442,443,0,80,349803704,0,0,0,0,0,
Group 3,Argentina,ARG,NonAnnexOne,37162,2780400,2736690,43710,274490,1.43E+11,0,0,127025,0,214211,
Group 3,Armenia,ARM,NonAnnexOne,37736,29743,28203,1540,4766,1989860169,0,0,0,0,7551,
Group 1/2,Australia,AUS,NonAnnexOne,39419,7692024,7682300,58920,468503,3.01E+11,0,0,305994,0,423248,
Group 1/2,Austria,AUT,NonAnnexOne,37407,83871,82445,1426,13677,1.47E+11,0,0,77017,0,94686,
Group 3,Azerbaijan,AZE,NonAnnexOne,36797,86600,82629,3971,17754,5933516002,0,0,0,0,47814,
Group 3,"Bahamas, The",BHS,NonAnnexOne,35164,13943,10010,3870,58,3659957221,0,0,0,0,0,
Group 3,Bahrain,BHR,NonAnnexOne,38748,758,760,0,19,4657178003,0,0,11885,0,22422,
Group 3,Bangladesh,BGD,NonAnnexOne,37186,143998,130168,13830,74173,27149873429,0,0,34127,0,67985,
Group 3,Barbados,BRB,NonAnnexOne,36745,430,431,0,160,1765100000,0,0,0,0,0,
Group 1/2,Belarus,BLR,NonAnnexOne,38590,207600,202900,4700,55575,18346601128,0,0,0,0,68236,
Group 1/2,Belgium,BEL,NonAnnexOne,37407,30528,30278,250,8302,1.82E+11,0,0,142748,0,142025,
Group 3,Belize,BLZ,NonAnnexOne,37890,22966,22806,160,696,354950000,0,0,0,0,0,
Group 3,Benin,BEN,NonAnnexOne,37312,112622,110622,2000,26029,1807208996,0,0,14776,0,10398,
Group 3,Bhutan,BTN,NonAnnexOne,37494,38394,38394,0,1081,274072148,0,0,0,0,0,
Group 3,Bolivia,BOL,NonAnnexOne,36494,1098581,1083301,15280,30146,4543983106,0,0,8190,0,16244,
Group 3,Bosnia and Herzegovina,BIH,NonAnnexOne,39188,51197,51187,10,10026,6366651882,0,0,0,0,33719,
Group 3,Botswana,BWA,NonAnnexOne,37841,582000,566730,15000,3805,3514131179,0,0,3298,0,7224,
Group 3,Brazil,BRA,NonAnnexOne,37491,8514877,8459417,55460,586036,3.18E+11,0,0,407973,0,748085,
Group 3,Brunei Darussalam,BRN,NonAnnexOne,40045,5765,5265,500,110,3520336117,0,0,6429,0,10594,
Group 1/2,Bulgaria,BGR,NonAnnexOne,37483,110879,108489,2390,33099,20044820091,0,0,92189,0,66363,
Group 3,Burkina Faso,BFA,NonAnnexOne,38442,272967,273800,400,48353,3042402579,0,0,0,0,0,
Group 3,Burundi,BDI,NonAnnexOne,37182,27834,25680,2150,9124,1567159997,0,0,0,0,0,
Group 3,Cambodia,KHM,NonAnnexOne,37490,181035,176515,4520,36081,1725559238,0,0,0,0,15392,
Group 3,Cameroon,CMR,NonAnnexOne,37496,475442,472710,2730,58868,11293210229,0,0,9298,0,19195,
Group 4,Canada,CAN,CanadaAgent,37607,9984670,9093507,891163,415573,5.41E+11,0,0,603600,0,724220,
Group 3,Cape Verde,CPV,NonAnnexOne,38758,4033,4033,0,460,291568060,0,0,0,0,0,
Group 3,Central African Republic,CAF,NonAnnexOne,39525,622984,622984,0,19313,1370309407,0,0,0,0,0,
Group 3,Chad,TCD,NonAnnexOne,40043,1284000,1259200,24800,35258,1582400159,0,0,0,0,0,
Group 3,Chile,CHL,NonAnnexOne,37494,756102,743812,12290,19619,31563014506,0,0,46792,0,96261,
Group 3,"China, People's Republic of",CHN,NonAnnexOne,37498,9596961,9569901,27060,1385905,3.97E+11,0,0,3259619,0,8094626,
Group 3,Colombia,COL,NonAnnexOne,37225,1141748,1038700,100210,20878,53786869948,0,0,85095,0,93093,
Group 3,Comoros,COM,NonAnnexOne,39548,1862,1862,0,778,249729598,0,0,0,0,0,
Group 3,"Congo, Democratic Republic of the ",COD,NonAnnexOne,38434,2344858,2267048,77810,64853,9103795876,0,0,36462,0,71099,
Group 3,"Congo, Republic of the ",COG,NonAnnexOne,39125,342000,341500,500,4952,2798746051,0,0,3389,0,4784,
Group 3,Cook Islands,COK,NonAnnexOne,37130,236,236,0,40,59324545,0,0,0,0,0,
Group 3,Costa Rica,CRI,NonAnnexOne,37477,51100,51060,40,2229,6750431238,0,0,6114,0,17534,
Group 1/2,Croatia,HRV,NonAnnexOne,39199,56594,55974,620,14566,14500688114,0,0,0,0,27408,
Group 3,Cuba,CUB,NonAnnexOne,37376,109886,109820,1040,30631,26692162447,0,0,59878,0,37573,
Group 3,Cyprus,CYP,NonAnnexOne,36357,9251,9241,10,999,5424427371,0,0,4674,0,8911,
Group 1/2,Czech Republic,CZE,NonAnnexOne,37210,78865,77247,1620,29999,33260877421,0,0,0,0,144023,
Group 1/2,Denmark,DNK,NonAnnexOne,37407,43094,42434,660,22295,1.17E+11,0,0,56282,0,57208,
Group 3,Djibouti,DJI,NonAnnexOne,37327,23200,23180,20,9,394726003,0,0,0,0,0,
Group 3,Dominica,DMA,NonAnnexOne,38377,751,751,0,50,180893289,0,0,0,0,0,
Group 3,Dominican Republic,DOM,NonAnnexOne,37299,48671,48320,350,10881,8726976663,0,0,12786,0,28102,
Group 3,Ecuador,ECU,NonAnnexOne,36538,256369,276841,6720,15808,10443047581,0,0,21287,0,31606,
Group 3,Egypt,EGY,NonAnnexOne,38364,1002000,995450,6000,29067,33318420052,0,0,80796,0,218939,
Group 3,El Salvador,SLV,NonAnnexOne,36538,21041,20721,320,6500,4792500000,0,0,8328,0,15623,
